detector,period,scope,n_treatment,n_control,delta,ci_low,ci_high,p_value,material,is_primary,family,view,outlet
binoculars,post,band_600-inf_year_2024,415,1349,-0.16836925165450534,-0.2294326453329999,-0.10575236453597932,2.061604143940332e-07,True,False,outlet,own_pre,rte
binoculars,post,band_600-inf_year_2025,588,1349,-0.1227049010857123,-0.17779732908730575,-0.06617348199472523,1.710472586001412e-05,False,False,outlet,own_pre,rte
binoculars,post,band_600-inf_year_2026,266,1349,-0.21409342481481686,-0.2896048033352469,-0.14071994292625567,3.282430899749741e-08,True,False,outlet,own_pre,rte
binoculars,post,post_all,5608,5608,-0.0964564518081974,-0.11783485111319474,-0.07554790410479426,9.047300399807209e-19,False,False,outlet,own_pre,irish_examiner
binoculars,post,year_2022,71,5608,-0.09109973679451888,-0.22194525928753694,0.04045723162082328,0.18647908454250495,False,False,outlet,own_pre,irish_examiner
binoculars,post,year_2023,1398,5608,-0.04401871228308629,-0.07743023455149907,-0.011018769298508823,0.010763576820661444,False,False,outlet,own_pre,irish_examiner
binoculars,post,year_2024,1364,5608,-0.10178928510171892,-0.1337284614616321,-0.06942465544613692,5.24091793769627e-09,False,False,outlet,own_pre,irish_examiner
binoculars,post,year_2025,1935,5608,-0.10140017767161713,-0.12963987631180265,-0.07243606402076036,2.7188089044840502e-11,False,False,outlet,own_pre,irish_examiner
binoculars,post,year_2026,840,5608,-0.16413287140819233,-0.2027274652282454,-0.12492841858569392,1.549284643347051e-14,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_0-150,144,334,-0.24193280106453763,-0.3492598137059215,-0.1304048153692615,2.6856706747691246e-05,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_0-150_year_2023,29,334,-0.33739417716291553,-0.542024571546562,-0.1228319223621726,0.002581606781282689,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_0-150_year_2024,38,334,-0.07989284588717305,-0.29247163567601636,0.13426961865742182,0.4200121334903266,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_0-150_year_2025,63,334,-0.23096663815226692,-0.3751615815987073,-0.08078842315369265,0.003635296894759349,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_0-150_year_2026,14,334,-0.5333618477331052,-0.7771706586826347,-0.2463430282292561,0.0007245250098779172,True,False,outlet,own_pre,irish_examiner
binoculars,post,band_150-300,641,972,-0.11838498231287276,-0.17527293067031324,-0.061577444579264694,5.6093201827701226e-05,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_150-300_year_2022,8,972,0.05915637860082312,-0.32229938271604935,0.42463991769547316,0.7775275663722976,False,False,outlet,own_pre,irish_examiner
binoculars,post,band_150-300_year_2023,191,972,-0.03514101652554247,-0.12417910930127332,0.05212225023161621,0.4421504373815208,False,False,outlet,own_pre,irish_examiner
